image_id,file_name,video_id,occluded,camera_angle,distance,lighting,motion_blur,background_similarity,object_near_person,object_on_floor,previous_detector_missed,annotation_status
6472,0000001_02999_d_0000005.jpg,visdrone-val-0000001,True,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,PENDING_MANUAL_REVIEW
6473,0000001_03499_d_0000006.jpg,visdrone-val-0000001,True,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,PENDING_MANUAL_REVIEW
6474,0000001_03999_d_0000007.jpg,visdrone-val-0000001,True,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,PENDING_MANUAL_REVIEW
6475,0000001_04527_d_0000008.jpg,visdrone-val-0000001,True,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,PENDING_MANUAL_REVIEW
6476,0000001_05249_d_0000009.jpg,visdrone-val-0000001,True,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,PENDING_MANUAL_REVIEW
6477,0000001_05499_d_0000010.jpg,visdrone-val-0000001,True,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,PENDING_MANUAL_REVIEW
6478,0000001_05999_d_0000011.jpg,visdrone-val-0000001,True,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,PENDING_MANUAL_REVIEW
6479,0000001_07999_d_0000012.jpg,visdrone-val-0000001,True,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,PENDING_MANUAL_REVIEW
6480,0000001_08414_d_0000013.jpg,visdrone-val-0000001,True,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,PENDING_MANUAL_REVIEW
6481,0000021_00000_d_0000001.jpg,visdrone-val-0000021,True,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,PENDING_MANUAL_REVIEW
6482,0000021_00500_d_0000002.jpg,visdrone-val-0000021,True,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,PENDING_MANUAL_REVIEW
6483,0000021_00800_d_0000003.jpg,visdrone-val-0000021,True,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,PENDING_MANUAL_REVIEW
6484,0000055_00000_d_0000109.jpg,visdrone-val-0000055,True,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,PENDING_MANUAL_REVIEW
6485,0000055_00714_d_0000110.jpg,visdrone-val-0000055,True,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,PENDING_MANUAL_REVIEW
6486,0000072_02834_d_0000003.jpg,visdrone-val-0000072,True,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,PENDING_MANUAL_REVIEW
6487,0000081_00000_d_0000001.jpg,visdrone-val-0000081,True,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,PENDING_MANUAL_REVIEW
6488,0000115_00315_d_0000080.jpg,visdrone-val-0000115,True,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,PENDING_MANUAL_REVIEW
6489,0000115_00796_d_0000081.jpg,visdrone-val-0000115,True,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,PENDING_MANUAL_REVIEW
