clip_id,event_target,review_status,positive_negative,gt_event_count,roi_verified,timing_verified,hard_case,reviewer,notes
Browse1,ZONE_INTRUSION,UNREVIEWED,positive,1,1,0,0,auto,content verified via CAVIAR XML + detector evidence; visual review pending (no vision)
Browse2,ZONE_INTRUSION,UNREVIEWED,positive,1,1,0,0,auto,content verified via CAVIAR XML + detector evidence; visual review pending (no vision)
Browse3,ZONE_INTRUSION,UNREVIEWED,positive,1,1,0,0,auto,content verified via CAVIAR XML + detector evidence; visual review pending (no vision)
Browse4,ZONE_INTRUSION,UNREVIEWED,positive,1,1,0,0,auto,content verified via CAVIAR XML + detector evidence; visual review pending (no vision)
LeftBag,ABANDONED_OBJECT;ZONE_INTRUSION,UNREVIEWED,positive,2,1,0,0,auto,content verified via CAVIAR XML + detector evidence; visual review pending (no vision)
LeftBag_AtChair,ABANDONED_OBJECT;ZONE_INTRUSION,UNREVIEWED,positive,2,1,0,0,auto,content verified via CAVIAR XML + detector evidence; visual review pending (no vision)
LeftBag_BehindChair,ZONE_INTRUSION,UNREVIEWED,positive,1,1,0,0,auto,content verified via CAVIAR XML + detector evidence; visual review pending (no vision)
LeftBag_PickedUp,ABANDONED_OBJECT;ZONE_INTRUSION,UNREVIEWED,positive,2,1,0,0,auto,content verified via CAVIAR XML + detector evidence; visual review pending (no vision)
LeftBox,ABANDONED_OBJECT;ZONE_INTRUSION,UNREVIEWED,positive,2,1,0,0,auto,content verified via CAVIAR XML + detector evidence; visual review pending (no vision)
Meet_Crowd,ZONE_INTRUSION,UNREVIEWED,positive,1,1,0,0,auto,content verified via CAVIAR XML + detector evidence; visual review pending (no vision)
Meet_Split_3rdGuy,ZONE_INTRUSION,UNREVIEWED,positive,1,1,0,0,auto,content verified via CAVIAR XML + detector evidence; visual review pending (no vision)
Meet_WalkSplit,ZONE_INTRUSION,UNREVIEWED,positive,1,1,0,0,auto,content verified via CAVIAR XML + detector evidence; visual review pending (no vision)
Meet_WalkTogether1,ZONE_INTRUSION,UNREVIEWED,positive,1,1,0,0,auto,content verified via CAVIAR XML + detector evidence; visual review pending (no vision)
Meet_WalkTogether2,ZONE_INTRUSION,UNREVIEWED,positive,1,1,0,0,auto,content verified via CAVIAR XML + detector evidence; visual review pending (no vision)
Rest_InChair,ZONE_INTRUSION,UNREVIEWED,positive,1,1,0,0,auto,content verified via CAVIAR XML + detector evidence; visual review pending (no vision)
Walk1,ZONE_INTRUSION,UNREVIEWED,positive,1,1,0,0,auto,content verified via CAVIAR XML + detector evidence; visual review pending (no vision)
Walk2,ZONE_INTRUSION,UNREVIEWED,positive,1,1,0,0,auto,content verified via CAVIAR XML + detector evidence; visual review pending (no vision)
Walk3,ZONE_INTRUSION,UNREVIEWED,positive,1,1,0,0,auto,content verified via CAVIAR XML + detector evidence; visual review pending (no vision)
WalkByShop1cor,CROWD_THRESHOLD;ZONE_INTRUSION,UNREVIEWED,positive,2,1,0,0,auto,content verified via CAVIAR XML + detector evidence; visual review pending (no vision)
WalkByShop1front,ZONE_INTRUSION,UNREVIEWED,positive,1,1,0,0,auto,content verified via CAVIAR XML + detector evidence; visual review pending (no vision)
