clip_id,event_id,field,old_value,new_value,change_type,reason,reviewer,reviewed_at,evidence
Browse1,GT-Browse1-CROWD_THRESHOLD-1,trigger_time_s,0.0,,REMOVED,hardened crowd: event was heuristic artifact (non-ROI / short hold),auto,,
Browse3,GT-Browse3-CROWD_THRESHOLD-1,trigger_time_s,26.16,,REMOVED,hardened crowd: event was heuristic artifact (non-ROI / short hold),auto,,
LeftBag,GT-LeftBag-CROWD_THRESHOLD-1,trigger_time_s,0.0,,REMOVED,hardened crowd: event was heuristic artifact (non-ROI / short hold),auto,,
LeftBag_AtChair,GT-LeftBag_AtChair-CROWD_THRESHOLD-1,trigger_time_s,0.0,,REMOVED,hardened crowd: event was heuristic artifact (non-ROI / short hold),auto,,
LeftBag_BehindChair,GT-LeftBag_BehindChair-CROWD_THRESHOLD-1,trigger_time_s,33.8,,REMOVED,hardened crowd: event was heuristic artifact (non-ROI / short hold),auto,,
Meet_Crowd,GT-Meet_Crowd-CROWD_THRESHOLD-1,trigger_time_s,2.76,,REMOVED,hardened crowd: event was heuristic artifact (non-ROI / short hold),auto,,
Meet_Split_3rdGuy,GT-Meet_Split_3rdGuy-CROWD_THRESHOLD-1,trigger_time_s,12.8,,REMOVED,hardened crowd: event was heuristic artifact (non-ROI / short hold),auto,,
Meet_WalkSplit,GT-Meet_WalkSplit-CROWD_THRESHOLD-1,trigger_time_s,0.04,,REMOVED,hardened crowd: event was heuristic artifact (non-ROI / short hold),auto,,
Meet_WalkSplit,GT-Meet_WalkSplit-CROWD_THRESHOLD-2,trigger_time_s,2.72,,REMOVED,hardened crowd: event was heuristic artifact (non-ROI / short hold),auto,,
Rest_InChair,GT-Rest_InChair-CROWD_THRESHOLD-1,trigger_time_s,1.56,,REMOVED,hardened crowd: event was heuristic artifact (non-ROI / short hold),auto,,
Walk1,GT-Walk1-CROWD_THRESHOLD-1,trigger_time_s,2.52,,REMOVED,hardened crowd: event was heuristic artifact (non-ROI / short hold),auto,,
Walk1,GT-Walk1-CROWD_THRESHOLD-2,trigger_time_s,9.44,,REMOVED,hardened crowd: event was heuristic artifact (non-ROI / short hold),auto,,
Walk2,GT-Walk2-CROWD_THRESHOLD-1,trigger_time_s,0.0,,REMOVED,hardened crowd: event was heuristic artifact (non-ROI / short hold),auto,,
Walk2,GT-Walk2-CROWD_THRESHOLD-2,trigger_time_s,2.8,,REMOVED,hardened crowd: event was heuristic artifact (non-ROI / short hold),auto,,
Walk2,GT-Walk2-CROWD_THRESHOLD-3,trigger_time_s,11.8,,REMOVED,hardened crowd: event was heuristic artifact (non-ROI / short hold),auto,,
Walk2,GT-Walk2-CROWD_THRESHOLD-4,trigger_time_s,32.0,,REMOVED,hardened crowd: event was heuristic artifact (non-ROI / short hold),auto,,
WalkByShop1cor,GT-WalkByShop1cor-CROWD_THRESHOLD-1,trigger_time_s,0.0,80.64,TIMING,crowd trigger recomputed after frozen hold,auto,,
WalkByShop1front,GT-WalkByShop1front-CROWD_THRESHOLD-1,trigger_time_s,73.8,,REMOVED,hardened crowd: event was heuristic artifact (non-ROI / short hold),auto,,
