camera_id,clip_id,event_type,roi_id,roi_verified,issue,action,notes
Browse1,Browse1,ZONE_INTRUSION,CENTRAL_ROI,1,none,keep,central region of 384x288 scene
Browse1,Browse1,CROWD_THRESHOLD,CENTRAL_ROI,1,none,keep,central region of 384x288 scene
Browse2,Browse2,ZONE_INTRUSION,CENTRAL_ROI,1,none,keep,central region of 384x288 scene
Browse2,Browse2,CROWD_THRESHOLD,CENTRAL_ROI,1,none,keep,central region of 384x288 scene
Browse3,Browse3,ZONE_INTRUSION,CENTRAL_ROI,1,none,keep,central region of 384x288 scene
Browse3,Browse3,CROWD_THRESHOLD,CENTRAL_ROI,1,none,keep,central region of 384x288 scene
Browse4,Browse4,ZONE_INTRUSION,CENTRAL_ROI,1,none,keep,central region of 384x288 scene
Browse4,Browse4,CROWD_THRESHOLD,CENTRAL_ROI,1,none,keep,central region of 384x288 scene
LeftBag,LeftBag,ZONE_INTRUSION,CENTRAL_ROI,1,none,keep,central region of 384x288 scene
LeftBag,LeftBag,CROWD_THRESHOLD,CENTRAL_ROI,1,none,keep,central region of 384x288 scene
LeftBag_AtChair,LeftBag_AtChair,ZONE_INTRUSION,CENTRAL_ROI,1,none,keep,central region of 384x288 scene
LeftBag_AtChair,LeftBag_AtChair,CROWD_THRESHOLD,CENTRAL_ROI,1,none,keep,central region of 384x288 scene
LeftBag_BehindChair,LeftBag_BehindChair,ZONE_INTRUSION,CENTRAL_ROI,1,none,keep,central region of 384x288 scene
LeftBag_BehindChair,LeftBag_BehindChair,CROWD_THRESHOLD,CENTRAL_ROI,1,none,keep,central region of 384x288 scene
LeftBag_PickedUp,LeftBag_PickedUp,ZONE_INTRUSION,CENTRAL_ROI,1,none,keep,central region of 384x288 scene
LeftBag_PickedUp,LeftBag_PickedUp,CROWD_THRESHOLD,CENTRAL_ROI,1,none,keep,central region of 384x288 scene
LeftBox,LeftBox,ZONE_INTRUSION,CENTRAL_ROI,1,none,keep,central region of 384x288 scene
LeftBox,LeftBox,CROWD_THRESHOLD,CENTRAL_ROI,1,none,keep,central region of 384x288 scene
Meet_Crowd,Meet_Crowd,ZONE_INTRUSION,CENTRAL_ROI,1,none,keep,central region of 384x288 scene
Meet_Crowd,Meet_Crowd,CROWD_THRESHOLD,CENTRAL_ROI,1,none,keep,central region of 384x288 scene
Meet_Split_3rdGuy,Meet_Split_3rdGuy,ZONE_INTRUSION,CENTRAL_ROI,1,none,keep,central region of 384x288 scene
Meet_Split_3rdGuy,Meet_Split_3rdGuy,CROWD_THRESHOLD,CENTRAL_ROI,1,none,keep,central region of 384x288 scene
Meet_WalkSplit,Meet_WalkSplit,ZONE_INTRUSION,CENTRAL_ROI,1,none,keep,central region of 384x288 scene
Meet_WalkSplit,Meet_WalkSplit,CROWD_THRESHOLD,CENTRAL_ROI,1,none,keep,central region of 384x288 scene
Meet_WalkTogether1,Meet_WalkTogether1,ZONE_INTRUSION,CENTRAL_ROI,1,none,keep,central region of 384x288 scene
Meet_WalkTogether1,Meet_WalkTogether1,CROWD_THRESHOLD,CENTRAL_ROI,1,none,keep,central region of 384x288 scene
Meet_WalkTogether2,Meet_WalkTogether2,ZONE_INTRUSION,CENTRAL_ROI,1,none,keep,central region of 384x288 scene
Meet_WalkTogether2,Meet_WalkTogether2,CROWD_THRESHOLD,CENTRAL_ROI,1,none,keep,central region of 384x288 scene
Rest_InChair,Rest_InChair,ZONE_INTRUSION,CENTRAL_ROI,1,none,keep,central region of 384x288 scene
Rest_InChair,Rest_InChair,CROWD_THRESHOLD,CENTRAL_ROI,1,none,keep,central region of 384x288 scene
Walk1,Walk1,ZONE_INTRUSION,CENTRAL_ROI,1,none,keep,central region of 384x288 scene
Walk1,Walk1,CROWD_THRESHOLD,CENTRAL_ROI,1,none,keep,central region of 384x288 scene
Walk2,Walk2,ZONE_INTRUSION,CENTRAL_ROI,1,none,keep,central region of 384x288 scene
Walk2,Walk2,CROWD_THRESHOLD,CENTRAL_ROI,1,none,keep,central region of 384x288 scene
Walk3,Walk3,ZONE_INTRUSION,CENTRAL_ROI,1,none,keep,central region of 384x288 scene
Walk3,Walk3,CROWD_THRESHOLD,CENTRAL_ROI,1,none,keep,central region of 384x288 scene
WalkByShop1cor,WalkByShop1cor,ZONE_INTRUSION,CENTRAL_ROI,1,none,keep,central region of 384x288 scene
WalkByShop1cor,WalkByShop1cor,CROWD_THRESHOLD,CENTRAL_ROI,1,none,keep,central region of 384x288 scene
WalkByShop1front,WalkByShop1front,ZONE_INTRUSION,CENTRAL_ROI,1,none,keep,central region of 384x288 scene
WalkByShop1front,WalkByShop1front,CROWD_THRESHOLD,CENTRAL_ROI,1,none,keep,central region of 384x288 scene
